GL,Br,Statutory_GL,Statutory_Type,Transaction_Type,Headers
1604,NULL,212,Asset,XOIP,NULL
1604,NULL,212,Asset,XOIR,NULL
1604,NULL,212,Asset,XRCR,NULL
1604,NULL,212,Asset,XRIN,NULL
1604,NULL,212,Asset,YEND,NULL
1610,NULL,208,Asset,CADJ,NULL
1610,NULL,208,Asset,CLH,NULL
1610,NULL,208,Asset,IV,NULL
1610,NULL,208,Asset,JOE,NULL
1610,NULL,208,Asset,JOV,NULL
1610,NULL,208,Asset,OUPA,NULL
1610,NULL,208,Asset,RCR,NULL
1610,NULL,208,Asset,RDCS,NULL
1610,NULL,208,Asset,RIN,NULL
1610,NULL,208,Asset,RRD,NULL
1610,NULL,208,Asset,XOIP,NULL
1610,NULL,208,Asset,XOIR,NULL
1610,NULL,208,Asset,XRCR,NULL
1610,NULL,208,Asset,XRIN,NULL
1610,NULL,208,Asset,YEND,NULL
1611,NULL,205-01,Asset,RCR,NULL
1611,NULL,205-01,Asset,RIN,NULL
1611,NULL,205-01,Asset,XRCR,NULL
1611,NULL,205-01,Asset,XRIN,NULL
1615,NULL,2131-01,Asset,CADJ,NULL
1615,NULL,2131-01,Asset,CLH,NULL
1615,NULL,2131-01,Asset,IV,NULL
1615,NULL,2131-01,Asset,JOE,NULL
1615,NULL,2131-01,Asset,JOV,NULL
1615,NULL,2131-01,Asset,OUPA,NULL
1615,NULL,2131-01,Asset,RCR,NULL
1615,NULL,2131-01,Asset,RDCS,NULL
1615,NULL,2131-01,Asset,RIN,NULL
1615,NULL,2131-01,Asset,RRD,NULL
1615,NULL,2131-01,Asset,XOIP,NULL
1615,NULL,2131-01,Asset,XOIR,NULL
1615,NULL,2131-01,Asset,XRCR,NULL
1615,NULL,2131-01,Asset,XRIN,NULL
1615,NULL,2131-01,Asset,YEND,NULL
1801,NULL,267,Asset,B2BT,NULL
1801,NULL,267,Asset,DEP,NULL
1801,NULL,267,Asset,PMT,NULL
1801,NULL,267,Asset,RCR,NULL
1801,NULL,267,Asset,RIN,NULL
1801,NULL,267,Asset,XPMT,NULL
1801,NULL,267,Asset,XRCR,NULL
1801,NULL,267,Asset,XRIN,NULL
2003,NULL,428,Liability,CADJ,NULL
2003,NULL,428,Liability,CLH,NULL
2003,NULL,428,Liability,IV,NULL
2003,NULL,428,Liability,JOE,NULL
2003,NULL,428,Liability,JOV,NULL
2003,NULL,428,Liability,OUPA,NULL
2003,NULL,428,Liability,RDCS,NULL
2003,NULL,428,Liability,RRD,NULL
2003,NULL,428,Liability,XOIP,NULL
2003,NULL,428,Liability,XOIR,NULL
2003,NULL,428,Liability,YEND,NULL
2015,NULL,542,Asset,B2BT,NULL
2015,NULL,542,Asset,CADJ,NULL
2015,NULL,542,Asset,CLH,NULL
2015,NULL,542,Asset,DEP,NULL
2015,NULL,542,Asset,IV,NULL
2015,NULL,542,Asset,JOE,NULL
2015,NULL,542,Asset,JOV,NULL
