id,GL,BR,Statutory_GL,Statutory_Type,Transaction_Types,headers
601,4507,NULL,628-11,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
602,4531,NULL,628-05,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
603,4532,NULL,628-01,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
604,4533,NULL,628-03,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
605,4534,NULL,628-02,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
606,4538,NULL,628-11,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
607,4539,NULL,628-15,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
608,4541,NULL,628-01,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
609,4542,NULL,628-02,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
610,4543,NULL,628-02,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
611,4544,NULL,628-50,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
612,4548,NULL,628-02,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
613,4550,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
614,4551,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
615,4552,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
616,4553,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
617,4554,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
618,4555,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
619,4556,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
620,4557,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
621,4558,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
622,4559,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
623,4560,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
624,4561,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
625,4562,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
626,4563,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
627,4564,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
628,4565,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
629,4566,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
630,4567,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
631,4568,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
632,4569,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
633,4570,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
634,4571,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
635,4572,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
636,4573,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
637,4574,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
638,4575,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
639,4576,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
640,4577,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
641,4578,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
642,4579,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
643,4580,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
644,4581,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
645,4582,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
646,4583,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
647,4584,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
648,4585,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
649,4586,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
650,4587,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
651,4588,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
652,4589,NULL,704-06,Revenue,"[ICR, INV, XICR, XINV]",[]
653,4602,NULL,766,Revenue,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, XPMT, YEND]",[]
654,4610,NULL,7588,Revenue,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, YEND]",[]
655,4611,NULL,765,Revenue,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, YEND]",[]
656,4612,NULL,665,Expense,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, YEND]",[]
657,4632,NULL,628-01,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
658,4632,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
659,4633,NULL,628-01,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
660,4633,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
661,4635,NULL,628-01,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
662,4635,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
663,4636,NULL,628-01,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
664,4636,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
665,4637,NULL,628-01,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, RIN, XOIP, XOIR, XRCR]",[]
666,4637,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
667,4642,NULL,628-01,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
668,4642,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
669,4643,NULL,628-01,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
670,4643,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
671,4645,NULL,628-01,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
